State_Senate_District,ARREST_YEAR,ARREST_QUARTER,#_ARRESTS,ARREST_CHANGE
19.0,2006,2,4012,-4.1108986615678775
19.0,2006,3,3939,-1.8195413758723826
19.0,2007,0,4128,4.798172124904799
19.0,2007,1,4057,-1.7199612403100775
19.0,2007,2,4578,12.842001478925313
19.0,2007,3,4070,-11.09654871122761
19.0,2008,0,4368,7.321867321867321
19.0,2008,1,4260,-2.4725274725274726
19.0,2008,2,4106,-3.615023474178404
19.0,2008,3,4019,-2.1188504627374574
19.0,2009,0,4729,17.666086091067427
19.0,2009,1,4920,4.038908860224149
19.0,2009,2,4692,-4.634146341463414
19.0,2009,3,4387,-6.500426257459506
19.0,2010,0,4689,6.8839753818098925
19.0,2010,1,5113,9.042439752612497
19.0,2010,2,4791,-6.297672599256797
19.0,2010,3,4196,-12.419119181799207
19.0,2011,0,4918,17.206863679694948
19.0,2011,1,5044,2.5620170801138675
19.0,2011,2,5286,4.797779540047582
19.0,2011,3,4468,-15.474839197881195
19.0,2012,0,5400,20.859444941808416
19.0,2012,1,5079,-5.944444444444445
19.0,2012,2,5340,5.138806851742469
19.0,2012,3,4019,-24.737827715355806
19.0,2013,0,4788,19.13411296342374
19.0,2013,1,4994,4.302422723475355
19.0,2013,2,4516,-9.571485782939527
19.0,2013,3,4184,-7.351638618246235
19.0,2014,0,4519,8.006692160611854
19.0,2014,1,4829,6.859924762115513
19.0,2014,2,5354,10.871816110996066
19.0,2014,3,3812,-28.8008965259619
19.0,2015,0,3708,-2.728226652675761
19.0,2015,1,4259,14.859762675296656
