Police_Precinct,ARREST_YEAR,#_ARRESTS,ARREST_CHANGE
66.0,2013,1823,9.48948948948949
66.0,2014,1883,3.2912781130005486
66.0,2015,1954,3.7705788635156665
66.0,2016,1903,-2.610030706243603
66.0,2017,1477,-22.385706778770363
66.0,2018,1240,-16.046039268788086
66.0,2019,1219,-1.6935483870967745
66.0,2020,944,-22.559474979491387
66.0,2021,1094,15.889830508474576
66.0,2022,1434,31.078610603290674
66.0,2023,719,-49.860529986052995
67.0,2006,6299,
67.0,2007,6824,8.334656294649944
67.0,2008,5985,-12.294841735052756
67.0,2009,6726,12.380952380952381
67.0,2010,6198,-7.850133809099019
67.0,2011,6242,0.7099064214262665
67.0,2012,7015,12.383851329702019
67.0,2013,6615,-5.702066999287242
67.0,2014,7080,7.029478458049887
67.0,2015,6379,-9.901129943502825
67.0,2016,5530,-13.309296127919737
67.0,2017,4830,-12.658227848101266
67.0,2018,4516,-6.50103519668737
67.0,2019,3855,-14.636846767050487
67.0,2020,2498,-35.20103761348898
67.0,2021,2916,16.733386709367494
67.0,2022,3132,7.4074074074074066
67.0,2023,2034,-35.05747126436782
68.0,2006,2013,
68.0,2007,2308,14.654744162940883
68.0,2008,2249,-2.55632582322357
68.0,2009,2481,10.315695864828813
68.0,2010,2544,2.539298669891173
68.0,2011,2366,-6.99685534591195
68.0,2012,2117,-10.524091293322064
68.0,2013,2316,9.40009447331129
68.0,2014,2349,1.4248704663212435
68.0,2015,2149,-8.514261387824607
68.0,2016,2640,22.847836202885063
68.0,2017,2893,9.583333333333334
68.0,2018,2507,-13.342550985136537
68.0,2019,2063,-17.710410849621063
68.0,2020,1379,-33.15559864275327
68.0,2021,1455,5.511240029006526
68.0,2022,1528,5.017182130584192
68.0,2023,1080,-29.31937172774869
69.0,2006,2773,
69.0,2007,2923,5.409304002884962
69.0,2008,2866,-1.9500513171399245
69.0,2009,2742,-4.326587578506629
69.0,2010,3004,9.555069292487236
69.0,2011,3146,4.727030625832223
69.0,2012,3216,2.2250476795931338
69.0,2013,3125,-2.8296019900497513
69.0,2014,3738,19.616
69.0,2015,2961,-20.786516853932586
69.0,2016,2811,-5.065856129685916
69.0,2017,2816,0.17787264318747778
69.0,2018,2191,-22.194602272727273
69.0,2019,1509,-31.12733911455956
