Zipcode,ARREST_YEAR,#_ARRESTS,ARREST_CHANGE
10030.0,2018,1598,-15.045188729399255
10030.0,2019,1541,-3.566958698372966
10030.0,2020,991,-35.69110966904607
10030.0,2021,1305,31.685166498486378
10030.0,2022,1322,1.3026819923371646
10030.0,2023,600,-54.61422087745839
10031.0,2006,4258,
10031.0,2007,5176,21.559417566932833
10031.0,2008,4480,-13.446676970633694
10031.0,2009,5193,15.915178571428571
10031.0,2010,4302,-17.157712305025996
10031.0,2011,4421,2.7661552766155277
10031.0,2012,4462,0.9273919927618186
10031.0,2013,4667,4.594352308381891
10031.0,2014,3842,-17.677308763659738
10031.0,2015,3534,-8.01665799062988
10031.0,2016,3062,-13.355970571590268
10031.0,2017,1936,-36.77335075114304
10031.0,2018,1576,-18.59504132231405
10031.0,2019,1426,-9.517766497461928
10031.0,2020,967,-32.18793828892005
10031.0,2021,1415,46.32885211995863
10031.0,2022,1728,22.120141342756185
10031.0,2023,753,-56.423611111111114
10032.0,2006,3678,
10032.0,2007,4294,16.748232735182164
10032.0,2008,4599,7.102934326967862
10032.0,2009,4853,5.522939769515112
10032.0,2010,4178,-13.90892231609314
10032.0,2011,3987,-4.571565342269028
10032.0,2012,3585,-10.082768999247554
10032.0,2013,4267,19.023709902370992
10032.0,2014,3948,-7.475978439184439
10032.0,2015,3248,-17.73049645390071
10032.0,2016,2942,-9.421182266009852
10032.0,2017,2651,-9.891230455472467
10032.0,2018,1998,-24.632214258770276
10032.0,2019,1686,-15.615615615615615
10032.0,2020,1163,-31.020166073546857
10032.0,2021,1591,36.80137575236457
10032.0,2022,1399,-12.067881835323696
10032.0,2023,795,-43.17369549678342
10033.0,2006,4154,
10033.0,2007,5092,22.58064516129032
10033.0,2008,4621,-9.24980361351139
10033.0,2009,4154,-10.106037654187405
10033.0,2010,4245,2.1906596051998073
10033.0,2011,3865,-8.95170789163722
10033.0,2012,4105,6.2095730918499354
10033.0,2013,3525,-14.12911084043849
10033.0,2014,2907,-17.53191489361702
10033.0,2015,2936,0.9975920192638458
10033.0,2016,2744,-6.539509536784741
10033.0,2017,2454,-10.568513119533527
10033.0,2018,1898,-22.656886715566422
10033.0,2019,1562,-17.702845100105375
10033.0,2020,1019,-34.76312419974391
10033.0,2021,1206,18.351324828263003
10033.0,2022,1453,20.480928689883914
10033.0,2023,894,-38.472126634549205
10034.0,2006,2231,
10034.0,2007,2447,9.681757059614522
10034.0,2008,2290,-6.41601961585615
10034.0,2009,2520,10.043668122270741
10034.0,2010,2504,-0.6349206349206349
10034.0,2011,2414,-3.5942492012779557
10034.0,2012,2207,-8.574979287489644
10034.0,2013,2170,-1.676483914816493
10034.0,2014,2823,30.092165898617512
10034.0,2015,1705,-39.6032589443854
10034.0,2016,1942,13.900293255131965
10034.0,2017,1751,-9.835221421215241
10034.0,2018,1328,-24.157624214734437
10034.0,2019,981,-26.129518072289155
10034.0,2020,456,-53.51681957186545
10034.0,2021,476,4.385964912280701
10034.0,2022,500,5.042016806722689
10034.0,2023,587,17.4
10035.0,2006,6646,
10035.0,2007,7685,15.633463737586517
10035.0,2008,7630,-0.715679895901106
10035.0,2009,7714,1.1009174311926606
10035.0,2010,8632,11.900440757065077
10035.0,2011,7454,-13.646895273401297
10035.0,2012,8121,8.94821572310169
10035.0,2013,8270,1.834749415096663
10035.0,2014,7760,-6.166868198307134
10035.0,2015,6329,-18.440721649484537
10035.0,2016,5670,-10.412387422973614
10035.0,2017,5536,-2.36331569664903
10035.0,2018,4897,-11.542630057803468
10035.0,2019,4264,-12.926281396773534
10035.0,2020,2549,-40.22045028142589
10035.0,2021,2605,2.1969399764613575
10035.0,2022,2580,-0.9596928982725527
10035.0,2023,1489,-42.286821705426355
10036.0,2006,5242,
10036.0,2007,5560,6.066386875238459
10036.0,2008,5153,-7.320143884892086
10036.0,2009,5177,0.46574810789831167
10036.0,2010,5828,12.574850299401197
10036.0,2011,5463,-6.262868908716541
10036.0,2012,5397,-1.2081274025260844
10036.0,2013,6015,11.450806003335186
10036.0,2014,6788,12.851205320033252
10036.0,2015,5277,-22.259870359457867
10036.0,2016,5044,-4.415387530794012
10036.0,2017,4534,-10.111022997620935
10036.0,2018,2899,-36.06087340097044
10036.0,2019,1920,-33.77026560883063
10036.0,2020,836,-56.458333333333336
10036.0,2021,1440,72.24880382775119
10036.0,2022,1550,7.638888888888889
10036.0,2023,1150,-25.806451612903224
10037.0,2006,1170,
10037.0,2007,1432,22.393162393162395
10037.0,2008,1314,-8.240223463687151
10037.0,2009,1124,-14.45966514459665
10037.0,2010,1277,13.612099644128115
10037.0,2011,1112,-12.920908379013312
10037.0,2012,1017,-8.543165467625899
10037.0,2013,1219,19.862340216322515
10037.0,2014,1616,32.56767842493847
10037.0,2015,1012,-37.37623762376238
10037.0,2016,932,-7.905138339920949
10037.0,2017,924,-0.8583690987124464
10037.0,2018,472,-48.917748917748916
10037.0,2019,412,-12.711864406779661
10037.0,2020,243,-41.019417475728154
10037.0,2021,346,42.38683127572017
10037.0,2022,341,-1.4450867052023122
10037.0,2023,176,-48.38709677419355
10038.0,2006,564,
10038.0,2007,632,12.056737588652481
10038.0,2008,607,-3.9556962025316458
10038.0,2009,579,-4.612850082372323
10038.0,2010,571,-1.381692573402418
10038.0,2011,601,5.253940455341506
10038.0,2012,625,3.9933444259567388
10038.0,2013,523,-16.32
10038.0,2014,589,12.619502868068832
10038.0,2015,451,-23.429541595925297
10038.0,2016,525,16.4079822616408
10038.0,2017,389,-25.9047619047619
10038.0,2018,419,7.712082262210797
10038.0,2019,313,-25.29832935560859
10038.0,2020,167,-46.64536741214057
10038.0,2021,172,2.9940119760479043
10038.0,2022,232,34.883720930232556
10038.0,2023,114,-50.86206896551724
10039.0,2006,1896,
10039.0,2007,1943,2.478902953586498
10039.0,2008,2273,16.984045290787442
10039.0,2009,2146,-5.587329520457545
10039.0,2010,2066,-3.727865796831314
10039.0,2011,1826,-11.616650532429816
10039.0,2012,1896,3.8335158817086525
10039.0,2013,1594,-15.928270042194093
10039.0,2014,1632,2.3839397741530743
10039.0,2015,1605,-1.6544117647058825
10039.0,2016,1826,13.769470404984425
10039.0,2017,1272,-30.339539978094194
10039.0,2018,964,-24.21383647798742
10039.0,2019,878,-8.921161825726141
10039.0,2020,517,-41.11617312072893
10039.0,2021,578,11.798839458413926
10039.0,2022,510,-11.76470588235294
10039.0,2023,301,-40.98039215686274
10040.0,2006,1454,
10040.0,2007,1546,6.327372764786795
10040.0,2008,1348,-12.807244501940493
10040.0,2009,1421,5.415430267062315
10040.0,2010,1253,-11.822660098522167
10040.0,2011,1477,17.877094972067038
10040.0,2012,1384,-6.296547054840894
10040.0,2013,1049,-24.20520231213873
10040.0,2014,1120,6.7683508102955185
10040.0,2015,902,-19.464285714285715
10040.0,2016,831,-7.87139689578714
10040.0,2017,814,-2.0457280385078223
10040.0,2018,548,-32.67813267813268
10040.0,2019,457,-16.605839416058394
10040.0,2020,355,-22.319474835886215
10040.0,2021,246,-30.704225352112672
10040.0,2022,348,41.46341463414634
10040.0,2023,338,-2.8735632183908044
10044.0,2006,64,
10044.0,2007,204,218.75
10044.0,2008,50,-75.49019607843137
10044.0,2009,7,-86.0
10044.0,2010,10,42.857142857142854
10044.0,2011,52,420.0
10044.0,2012,71,36.53846153846153
10044.0,2013,39,-45.07042253521127
10044.0,2014,23,-41.02564102564102
10044.0,2015,46,100.0
10044.0,2016,59,28.26086956521739
10044.0,2017,33,-44.06779661016949
10044.0,2018,19,-42.42424242424242
10044.0,2019,23,21.052631578947366
10044.0,2020,26,13.043478260869565
10044.0,2021,19,-26.923076923076923
10044.0,2022,45,136.8421052631579
10044.0,2023,18,-60.0
10048.0,2006,91,
10048.0,2007,155,70.32967032967034
10048.0,2008,147,-5.161290322580645
10048.0,2009,141,-4.081632653061225
10048.0,2010,94,-33.33333333333333
10048.0,2011,82,-12.76595744680851
10048.0,2012,116,41.46341463414634
10048.0,2013,97,-16.379310344827587
10048.0,2014,78,-19.587628865979383
10048.0,2015,75,-3.8461538461538463
