State_Senate_District,ARREST_YEAR,#_ARRESTS,ARREST_CHANGE
47.0,2018,10591,-19.515160726498973
47.0,2019,8532,-19.441034840902656
47.0,2020,5279,-38.127051101734644
47.0,2021,7223,36.82515627959841
47.0,2022,7792,7.877613180119064
47.0,2023,4305,-44.75102669404517
59.0,2006,9718,
59.0,2007,10613,9.209713932908006
59.0,2008,9575,-9.780457928955055
59.0,2009,9659,0.877284595300261
59.0,2010,9700,0.4244745832901957
59.0,2011,10438,7.608247422680413
59.0,2012,9705,-7.022418087756275
59.0,2013,10763,10.901597114889231
59.0,2014,10470,-2.722289324537768
59.0,2015,9696,-7.392550143266476
59.0,2016,8860,-8.622112211221122
59.0,2017,9037,1.997742663656885
59.0,2018,7441,-17.660728117738188
59.0,2019,6465,-13.116516597231556
59.0,2020,4456,-31.07501933488012
59.0,2021,5831,30.857271095152605
59.0,2022,7078,21.385697135997255
59.0,2023,3419,-51.695394179146646
