Police_Precinct,ARREST_YEAR,ARREST_QUARTER,#_ARRESTS,ARREST_CHANGE
13.0,2021,2,574,24.5119305856833
13.0,2021,3,604,5.2264808362369335
13.0,2022,0,745,23.344370860927153
13.0,2022,1,797,6.97986577181208
13.0,2022,2,652,-18.193224592220826
13.0,2022,3,651,-0.15337423312883436
13.0,2023,0,644,-1.0752688172043012
13.0,2023,1,706,9.627329192546584
14.0,2006,0,3062,
14.0,2006,1,3382,10.450685826257349
14.0,2006,2,3492,3.252513305736251
14.0,2006,3,3575,2.376861397479954
14.0,2007,0,4044,13.118881118881118
14.0,2007,1,3499,-13.47675568743818
14.0,2007,2,3403,-2.743641040297228
14.0,2007,3,3260,-4.202174551866
14.0,2008,0,3566,9.386503067484663
14.0,2008,1,3262,-8.524957936062815
14.0,2008,2,3462,6.131207847946046
14.0,2008,3,3607,4.188330444829578
14.0,2009,0,4040,12.004435819240367
14.0,2009,1,3532,-12.574257425742575
14.0,2009,2,3412,-3.397508493771234
14.0,2009,3,3788,11.019929660023447
14.0,2010,0,3916,3.37909186906019
14.0,2010,1,3802,-2.9111338100102144
14.0,2010,2,3763,-1.0257759074171489
14.0,2010,3,3719,-1.1692798299229339
14.0,2011,0,3662,-1.5326700726001614
14.0,2011,1,3488,-4.751501911523757
14.0,2011,2,3109,-10.865825688073393
14.0,2011,3,3329,7.076230299131553
14.0,2012,0,3514,5.557224391709222
14.0,2012,1,3149,-10.387023335230507
14.0,2012,2,3151,0.06351222610352493
14.0,2012,3,3268,3.7131069501745473
14.0,2013,0,3687,12.821297429620563
14.0,2013,1,3512,-4.746406292378627
14.0,2013,2,3333,-5.096810933940774
14.0,2013,3,3701,11.041104110411041
14.0,2014,0,3947,6.646852202107538
14.0,2014,1,3764,-4.636432733721814
14.0,2014,2,3704,-1.5940488841657812
14.0,2014,3,3214,-13.228941684665227
14.0,2015,0,3431,6.751711263223398
14.0,2015,1,3068,-10.580005829204314
14.0,2015,2,3084,0.5215123859191656
14.0,2015,3,3118,1.1024643320363166
14.0,2016,0,3283,5.2918537524053875
14.0,2016,1,2755,-16.082851050868108
14.0,2016,2,2518,-8.602540834845735
14.0,2016,3,2506,-0.47656870532168394
14.0,2017,0,2493,-0.5187549880287311
14.0,2017,1,2345,-5.9366225431207384
14.0,2017,2,2320,-1.0660980810234542
14.0,2017,3,2428,4.655172413793104
14.0,2018,0,2408,-0.8237232289950577
14.0,2018,1,2003,-16.818936877076414
14.0,2018,2,1787,-10.783824263604593
14.0,2018,3,1757,-1.6787912702853944
14.0,2019,0,1676,-4.610130904951622
14.0,2019,1,1564,-6.682577565632458
14.0,2019,2,1336,-14.578005115089516
14.0,2019,3,1341,0.37425149700598803
14.0,2020,0,1090,-18.71737509321402
14.0,2020,1,530,-51.37614678899083
14.0,2020,2,493,-6.981132075471698
14.0,2020,3,865,75.45638945233266
14.0,2021,0,1043,20.578034682080926
14.0,2021,1,1026,-1.6299137104506232
14.0,2021,2,1217,18.61598440545809
14.0,2021,3,1433,17.748562037797864
14.0,2022,0,1438,0.34891835310537334
14.0,2022,1,1479,2.851182197496523
14.0,2022,2,1437,-2.839756592292089
14.0,2022,3,1652,14.961725817675713
14.0,2023,0,1707,3.3292978208232444
14.0,2023,1,2017,18.160515524311656
17.0,2006,0,418,
17.0,2006,1,414,-0.9569377990430622
17.0,2006,2,456,10.144927536231885
17.0,2006,3,386,-15.350877192982457
17.0,2007,0,445,15.284974093264248
17.0,2007,1,492,10.561797752808989
17.0,2007,2,517,5.08130081300813
17.0,2007,3,348,-32.688588007736946
17.0,2008,0,463,33.04597701149425
17.0,2008,1,361,-22.03023758099352
17.0,2008,2,406,12.465373961218837
17.0,2008,3,377,-7.142857142857142
17.0,2009,0,498,32.09549071618037
17.0,2009,1,426,-14.457831325301203
17.0,2009,2,360,-15.492957746478872
17.0,2009,3,348,-3.3333333333333335
17.0,2010,0,440,26.436781609195403
17.0,2010,1,368,-16.363636363636363
17.0,2010,2,416,13.043478260869565
17.0,2010,3,354,-14.903846153846153
17.0,2011,0,450,27.11864406779661
17.0,2011,1,447,-0.6666666666666667
17.0,2011,2,343,-23.2662192393736
17.0,2011,3,332,-3.206997084548105
17.0,2012,0,449,35.24096385542169
17.0,2012,1,441,-1.7817371937639197
17.0,2012,2,463,4.988662131519274
17.0,2012,3,361,-22.03023758099352
17.0,2013,0,462,27.977839335180054
17.0,2013,1,442,-4.329004329004329
17.0,2013,2,414,-6.334841628959276
17.0,2013,3,377,-8.937198067632849
17.0,2014,0,441,16.976127320954905
17.0,2014,1,419,-4.988662131519274
17.0,2014,2,470,12.17183770883055
17.0,2014,3,294,-37.4468085106383
17.0,2015,0,294,0.0
17.0,2015,1,275,-6.462585034013606
17.0,2015,2,365,32.72727272727273
17.0,2015,3,319,-12.602739726027398
17.0,2016,0,389,21.9435736677116
17.0,2016,1,364,-6.426735218508997
17.0,2016,2,303,-16.758241758241756
17.0,2016,3,319,5.2805280528052805
17.0,2017,0,384,20.37617554858934
17.0,2017,1,367,-4.427083333333334
17.0,2017,2,338,-7.901907356948229
17.0,2017,3,428,26.627218934911244
17.0,2018,0,415,-3.0373831775700935
17.0,2018,1,397,-4.337349397590361
17.0,2018,2,335,-15.617128463476071
17.0,2018,3,294,-12.238805970149254
17.0,2019,0,346,17.687074829931973
17.0,2019,1,342,-1.1560693641618496
17.0,2019,2,349,2.046783625730994
17.0,2019,3,308,-11.74785100286533
17.0,2020,0,250,-18.83116883116883
17.0,2020,1,144,-42.4
17.0,2020,2,201,39.58333333333333
17.0,2020,3,252,25.37313432835821
17.0,2021,0,252,0.0
17.0,2021,1,197,-21.825396825396826
17.0,2021,2,217,10.152284263959391
17.0,2021,3,215,-0.9216589861751152
17.0,2022,0,262,21.86046511627907
17.0,2022,1,237,-9.541984732824428
17.0,2022,2,197,-16.877637130801688
17.0,2022,3,200,1.5228426395939088
17.0,2023,0,210,5.0
17.0,2023,1,254,20.952380952380953
18.0,2006,0,1117,
18.0,2006,1,1269,13.60787824529991
18.0,2006,2,1257,-0.9456264775413712
18.0,2006,3,1201,-4.455051710421639
18.0,2007,0,1245,3.6636136552872607
18.0,2007,1,1295,4.016064257028113
18.0,2007,2,1265,-2.3166023166023164
18.0,2007,3,1318,4.189723320158103
18.0,2008,0,1267,-3.8694992412746583
18.0,2008,1,1216,-4.025256511444357
18.0,2008,2,1152,-5.263157894736842
18.0,2008,3,1287,11.71875
18.0,2009,0,1376,6.915306915306915
18.0,2009,1,1330,-3.343023255813953
18.0,2009,2,1388,4.360902255639098
18.0,2009,3,1395,0.5043227665706052
18.0,2010,0,1359,-2.5806451612903225
18.0,2010,1,1417,4.267844002943341
18.0,2010,2,1459,2.9640084685956247
18.0,2010,3,1374,-5.825908156271418
18.0,2011,0,1422,3.4934497816593884
18.0,2011,1,1578,10.970464135021098
