Community_District,ARREST_YEAR,#_ARRESTS,ARREST_CHANGE
210.0,2014,3013,2.4481468888133286
210.0,2015,2903,-3.6508463325589116
210.0,2016,2748,-5.339304168101963
210.0,2017,2530,-7.9330422125181945
210.0,2018,2580,1.9762845849802373
210.0,2019,2203,-14.612403100775193
210.0,2020,1417,-35.6786200635497
210.0,2021,1456,2.7522935779816518
210.0,2022,1685,15.728021978021978
210.0,2023,1348,-20.0
211.0,2006,2562,
211.0,2007,2939,14.715066354410617
211.0,2008,3012,2.4838380401497107
211.0,2009,2982,-0.9960159362549801
211.0,2010,3266,9.523809523809524
211.0,2011,3160,-3.245560318432333
211.0,2012,3628,14.810126582278482
211.0,2013,3914,7.883131201764057
211.0,2014,3786,-3.2703117015840575
211.0,2015,3326,-12.150026413100898
211.0,2016,3505,5.381840048105833
211.0,2017,3463,-1.1982881597717547
211.0,2018,3178,-8.22985850418712
211.0,2019,2642,-16.865953429830082
211.0,2020,1665,-36.979560938682816
211.0,2021,1578,-5.225225225225225
211.0,2022,2222,40.81115335868187
211.0,2023,1244,-44.01440144014401
212.0,2006,5956,
212.0,2007,7216,21.155137676292814
212.0,2008,7808,8.2039911308204
212.0,2009,7862,0.6915983606557377
212.0,2010,7673,-2.403968455863648
212.0,2011,6972,-9.135931187280073
212.0,2012,6710,-3.7578886976477337
212.0,2013,6975,3.9493293591654246
212.0,2014,6894,-1.1612903225806452
212.0,2015,5971,-13.388453727879316
212.0,2016,5739,-3.8854463238988446
212.0,2017,5779,0.6969855375500958
212.0,2018,5333,-7.717598200380689
212.0,2019,4674,-12.357022313894618
212.0,2020,3189,-31.77150192554557
212.0,2021,3583,12.354970210097209
212.0,2022,3705,3.404967903991069
212.0,2023,2147,-42.05128205128205
226.0,2006,132,
226.0,2007,95,-28.030303030303028
226.0,2008,115,21.052631578947366
226.0,2009,159,38.26086956521739
226.0,2010,150,-5.660377358490567
226.0,2011,180,20.0
226.0,2012,143,-20.555555555555554
226.0,2013,126,-11.888111888111888
226.0,2014,135,7.142857142857142
226.0,2015,122,-9.62962962962963
226.0,2016,159,30.327868852459016
226.0,2017,108,-32.075471698113205
226.0,2018,74,-31.48148148148148
226.0,2019,112,51.35135135135135
226.0,2020,52,-53.57142857142857
226.0,2021,64,23.076923076923077
226.0,2022,34,-46.875
226.0,2023,20,-41.17647058823529
227.0,2006,122,
227.0,2007,109,-10.655737704918032
227.0,2008,88,-19.26605504587156
227.0,2009,129,46.590909090909086
227.0,2010,172,33.33333333333333
227.0,2011,113,-34.30232558139535
227.0,2012,120,6.1946902654867255
227.0,2013,158,31.666666666666664
227.0,2014,133,-15.822784810126583
227.0,2015,77,-42.10526315789473
227.0,2016,131,70.12987012987013
227.0,2017,124,-5.343511450381679
227.0,2018,106,-14.516129032258066
227.0,2019,64,-39.62264150943396
227.0,2020,41,-35.9375
227.0,2021,33,-19.51219512195122
227.0,2022,50,51.515151515151516
227.0,2023,44,-12.0
228.0,2006,32,
228.0,2007,41,28.125
228.0,2008,100,143.90243902439025
228.0,2009,82,-18.0
228.0,2010,47,-42.68292682926829
228.0,2011,35,-25.53191489361702
228.0,2012,37,5.714285714285714
228.0,2013,46,24.324324324324326
228.0,2014,97,110.86956521739131
228.0,2015,60,-38.144329896907216
228.0,2016,42,-30.0
228.0,2017,37,-11.904761904761903
228.0,2018,21,-43.24324324324324
228.0,2019,28,33.33333333333333
228.0,2020,20,-28.57142857142857
228.0,2021,28,40.0
228.0,2022,34,21.428571428571427
228.0,2023,25,-26.47058823529412
301.0,2006,5613,
301.0,2007,5286,-5.825761624799573
301.0,2008,5919,11.975028376844495
301.0,2009,5996,1.3008954215239061
301.0,2010,6085,1.4843228819212808
301.0,2011,6484,6.557107641741988
301.0,2012,6134,-5.3979025293028995
301.0,2013,6736,9.814150635800456
301.0,2014,5810,-13.747030878859858
301.0,2015,5169,-11.032702237521514
